release_year,title
1981,Shot of Love
1981,Watered-Down Love
1983,Jokerman
1983,Blind Willie McTell
1983,Foot of Pride
1983,Lord Protect My Child
1983,Tell me
1983,Someone’s Got a Hold of My Heart
1983,Sweetheart Like You
1983,License to Kill
1983,Man of Peace
1983,Don’t Fall Apart on Me Tonight
1983,I and I
1983,Union Sundown
1983,Neighborhood Bully
1985,When the Night Comes Falling from the Sky
1985,Never Gonna Be the Same Again
1985,"Something’s Burning, Baby"
1985,Emotionally Yours
1985,Trust Yourself
1985,Clean Cut Kid
1985,Seeing the Real You at Last
1985,Tight Connection to My Heart (Has Anyone Seen My Love)Don’t Fall Apart on Me Tonight
1985,I’ll Remember You
1985,Dark Eyes
1986,Brownsville Girl
1986,Driftin’ Too Far from Shore
1988,Down in The Groove
1988,"Had a Dream About You, Baby"
1988,Silvio
1988,Ugliest Girl in the World
1989,Disease of Conceit
1989,Ring Them Bells
1989,Man in the Long Black Coat
1989,Series of Dreams
1989,Political World
1989,Where Teardrops Fall
1989,What Good Am I?
1989,Most of the Time
1989,Everything Is Broken
1989,What Was It You Wanted?
1989,Shooting Star
1990,T.V. Talkin’ Song
1990,Under the Red Sky
1990,Unbelievable
1990,"10,000 Men"
1990,Born in Time
1990,Wiggle Wiggle
1990,Cat’s in the Well
1990,Handy Dandy
1990,God Knows
1990,2 X 2
1994,Dignity
1997,Not Dark Yet
1997,Standing in the Doorway
1997,Million Miles
1997,Tryin’ to Get to Heaven
1997,‘Til I Fell in Love with You
1997,Can’t Wait
1997,Highlands
1997,Love Sick
1997,Dirt Road Blues
1997,Cold Irons Bound
2001,Moonlight
2001,Bye and Bye
2001,Tweedle Dee & Tweedle Dum
2001,"Lonesome Day Blues
"
2001,Floater (Too Much to Ask)
2001,High Water (For Charley Patton)
2001,"Po’ Boy
"
2001,Cry a While
2001,Sugar Baby
2001,Summer Days
2001,Mississippi
2001,Honest with Me
2006,Ain’t Talkin’
2006,The Levee’s Gonna Break
2006,Thunder on the Mountain
2006,Spirit on the Water
2006,"Rollin’ and Tumblin’
"
2006,When the Deal Goes Down
2006,Someday Baby
2006,Workingman’s Blues #2
2006,Beyond the Horizon
2006,Nettie Moore
2009,Shake Shake Mama
2009,If You Ever Go to Houston
2009,Jolene
2009,Life Is Hard
2009,This Dream of You
2009,My Wife’s Home Town
2009,Forgetful Heart
2009,Beyond Here Lies Nothin’
2009,I Feel a Change Comin’ On
2009,It’s All Good
2012,Early Roman Kings
2012,Soon After Midnight
2012,Pay in Blood
2012,Scarlet Town
2012,Narrow Way
2012,Tin Angel
2012,Tempest
2012,Duquesne Whistle
2012,Long and Wasted Years
2012,Roll on John
2020,Crossing the Rubicon
2020,Murder Most Foul
2020,Key West (Philosopher Pirate)
2020,False Prophet
2020,My Own Version of You
2020,I’ve Made Up My Mind to Give Myself to You
2020,Black Rider
2020,Goodbye Jimmy Reed
2020,Mother of Muses
2020,I Contain Multitudes
